MAp,eps,omegah2,xf
1.695760442764e-01,3.757456780972e-04,1.190000000000e-01,1.930000000000e+01
1.695760442764e-01,3.732761291864e-04,1.200000000000e-01,1.930000000000e+01
1.670703718779e-01,3.825225563281e-04,1.190000000000e-01,1.930000000000e+01
1.670703718779e-01,3.800084670985e-04,1.210000000000e-01,1.930000000000e+01
1.646017235425e-01,3.868622281884e-04,1.200000000000e-01,1.920000000000e+01
1.621695521989e-01,3.938396024215e-04,1.170000000000e-01,1.920000000000e+01
1.621695521989e-01,3.875842392042e-04,1.210000000000e-01,1.920000000000e+01
1.597733188597e-01,3.883075977278e-04,1.200000000000e-01,1.920000000000e+01
1.574124925012e-01,3.890323062742e-04,1.180000000000e-01,1.920000000000e+01
1.574124925012e-01,3.846677756429e-04,1.200000000000e-01,1.920000000000e+01
1.550865499465e-01,3.810620716255e-04,1.200000000000e-01,1.910000000000e+01
1.527949757489e-01,3.774901658680e-04,1.190000000000e-01,1.910000000000e+01
1.527949757489e-01,3.750091514949e-04,1.210000000000e-01,1.910000000000e+01
1.505372620783e-01,3.690523780156e-04,1.210000000000e-01,1.910000000000e+01
1.483129086081e-01,3.631902239613e-04,1.220000000000e-01,1.910000000000e+01
1.483129086081e-01,3.658284892898e-04,1.200000000000e-01,1.910000000000e+01
1.461214224048e-01,3.626327631206e-04,1.190000000000e-01,1.910000000000e+01
1.461214224048e-01,3.602493974630e-04,1.200000000000e-01,1.910000000000e+01
1.439623178183e-01,3.547553899489e-04,1.200000000000e-01,1.900000000000e+01
1.418351163746e-01,3.493451691637e-04,1.210000000000e-01,1.900000000000e+01
1.397393466699e-01,3.440174573122e-04,1.210000000000e-01,1.900000000000e+01
1.376745442655e-01,3.387709960863e-04,1.210000000000e-01,1.900000000000e+01
1.356402515857e-01,3.336045463681e-04,1.210000000000e-01,1.900000000000e+01
1.336360178156e-01,3.285168879365e-04,1.210000000000e-01,1.900000000000e+01
1.316613988019e-01,3.235068191799e-04,1.220000000000e-01,1.900000000000e+01
1.316613988019e-01,3.258568186245e-04,1.200000000000e-01,1.900000000000e+01
1.297159569540e-01,3.232182884448e-04,1.190000000000e-01,1.900000000000e+01
1.297159569540e-01,3.210939702724e-04,1.200000000000e-01,1.900000000000e+01
1.277992611473e-01,3.164007375403e-04,1.200000000000e-01,1.890000000000e+01
1.259108866273e-01,3.117761028994e-04,1.200000000000e-01,1.900000000000e+01
1.240504149159e-01,3.072190636937e-04,1.200000000000e-01,1.890000000000e+01
1.222174337185e-01,3.027286319224e-04,1.200000000000e-01,1.890000000000e+01
1.204115368326e-01,2.983038340257e-04,1.200000000000e-01,1.890000000000e+01
1.186323240576e-01,2.939437106737e-04,1.200000000000e-01,1.890000000000e+01
1.168794011065e-01,2.896473165584e-04,1.210000000000e-01,1.890000000000e+01
1.151523795183e-01,2.854137201887e-04,1.210000000000e-01,1.890000000000e+01
1.134508765718e-01,2.812420036888e-04,1.210000000000e-01,1.890000000000e+01
1.117745152011e-01,2.771312625988e-04,1.210000000000e-01,1.880000000000e+01
1.101229239118e-01,2.730806056785e-04,1.210000000000e-01,1.880000000000e+01
1.084957366987e-01,2.690891547148e-04,1.210000000000e-01,1.880000000000e+01
1.068925929648e-01,2.651560443306e-04,1.210000000000e-01,1.880000000000e+01
1.053131374412e-01,2.612804217977e-04,1.220000000000e-01,1.880000000000e+01
1.053131374412e-01,2.631783998608e-04,1.200000000000e-01,1.880000000000e+01
1.037570201086e-01,2.612155054891e-04,1.190000000000e-01,1.880000000000e+01
1.037570201086e-01,2.594986940800e-04,1.200000000000e-01,1.880000000000e+01
1.022238961195e-01,2.558704371819e-04,1.200000000000e-01,1.870000000000e+01
1.007134257222e-01,2.522929098190e-04,1.200000000000e-01,1.880000000000e+01
9.922527418478e-02,2.487654027013e-04,1.200000000000e-01,1.870000000000e+01
9.775911172165e-02,2.452872164563e-04,1.200000000000e-01,1.870000000000e+01
9.631461342005e-02,2.418576614896e-04,1.200000000000e-01,1.870000000000e+01
9.489145916820e-02,2.384760578489e-04,1.200000000000e-01,1.870000000000e+01
9.348933358429e-02,2.351417350887e-04,1.210000000000e-01,1.870000000000e+01
9.210792594667e-02,2.318540321375e-04,1.210000000000e-01,1.870000000000e+01
9.074693012489e-02,2.286122971668e-04,1.210000000000e-01,1.870000000000e+01
8.940604451196e-02,2.254158874618e-04,1.210000000000e-01,1.860000000000e+01
8.808497195744e-02,2.222641692941e-04,1.210000000000e-01,1.870000000000e+01
8.678341970161e-02,2.191565177959e-04,1.210000000000e-01,1.860000000000e+01
8.550109931062e-02,2.160923168362e-04,1.220000000000e-01,1.860000000000e+01
8.550109931062e-02,2.176620420921e-04,1.200000000000e-01,1.860000000000e+01
8.423772661253e-02,2.161777575414e-04,1.190000000000e-01,1.860000000000e+01
