MAp,eps,omegah2,xf,method,ncalls
7.6106325214e-01,9.6633382952e-04,1.1900000000e-01,2.0700000000e+01,refine,1
7.6981243737e-01,9.7675487358e-04,1.1900000000e-01,2.0700000000e+01,refine,1
7.7866220325e-01,9.8728829925e-04,1.1900000000e-01,2.0800000000e+01,refine,1
7.8761370607e-01,9.9793531848e-04,1.2000000000e-01,2.0700000000e+01,refine,1
7.9666811540e-01,1.0086971563e-03,1.2000000000e-01,2.0800000000e+01,refine,1
8.0582661423e-01,1.0195750508e-03,1.2000000000e-01,2.0800000000e+01,refine,1
8.1509039919e-01,1.0305702537e-03,1.2000000000e-01,2.0800000000e+01,refine,1
8.2446068065e-01,1.0416840300e-03,1.2000000000e-01,2.0800000000e+01,refine,1
8.3393868290e-01,1.0529176584e-03,1.2000000000e-01,2.0800000000e+01,refine,1
8.4352564428e-01,1.0642724315e-03,1.2000000000e-01,2.0800000000e+01,refine,1
8.5322281739e-01,1.0757496556e-03,1.2000000000e-01,2.0800000000e+01,refine,1
8.6303146924e-01,1.0873506512e-03,1.2000000000e-01,2.0800000000e+01,refine,1
8.7295288137e-01,1.0990767532e-03,1.2000000000e-01,2.0800000000e+01,refine,1
8.8298835008e-01,1.1109293107e-03,1.2000000000e-01,2.0900000000e+01,refine,1
8.9313918657e-01,1.1229096874e-03,1.2000000000e-01,2.0800000000e+01,refine,1
9.0340671711e-01,1.1350192617e-03,1.2000000000e-01,2.0800000000e+01,refine,2
9.1379228320e-01,1.1472594269e-03,1.2000000000e-01,2.0900000000e+01,refine,2
9.2429724179e-01,1.1703294689e-03,1.1900000000e-01,2.0900000000e+01,refine,1
9.3492296541e-01,1.1827678577e-03,1.1900000000e-01,2.0900000000e+01,refine,1
9.4567084238e-01,1.1953384431e-03,1.1900000000e-01,2.0900000000e+01,refine,1
9.5654227697e-01,1.2080426300e-03,1.1900000000e-01,2.0900000000e+01,refine,1
9.6753868960e-01,1.2208818383e-03,1.1900000000e-01,2.0900000000e+01,refine,1
9.7866151703e-01,1.2338575032e-03,1.1900000000e-01,2.0900000000e+01,refine,1
9.8991221251e-01,1.2469710749e-03,1.1900000000e-01,2.0900000000e+01,refine,1
1.0012922460e+00,1.2602240190e-03,1.1900000000e-01,2.0900000000e+01,refine,1
1.0128031044e+00,1.2736178168e-03,1.1900000000e-01,2.0900000000e+01,refine,1
1.0244462917e+00,1.2871539654e-03,1.1900000000e-01,2.0900000000e+01,refine,1
1.0362233290e+00,1.3008339777e-03,1.1900000000e-01,2.1000000000e+01,refine,1
1.0481357553e+00,1.3146593826e-03,1.2000000000e-01,2.1000000000e+01,refine,1
1.0601851268e+00,1.3286317254e-03,1.2000000000e-01,2.1000000000e+01,refine,1
1.0723730179e+00,1.3427525678e-03,1.2000000000e-01,2.1000000000e+01,refine,1
1.0847010211e+00,1.3570234880e-03,1.2000000000e-01,2.1000000000e+01,refine,1
