# relic_survival_map.py, alphaD=0.5, direct detection only (best2026)
# every row has Omega h^2 = 0.1204 by construction; dd_covered=0 means no experiment reaches that mchi
# the _cenuns columns fold in the PandaX-4T S2 CEvNS recast; the allowed set is alphaD independent
R,MAp,eps,eps_ddlimit,ratio,dd_covered,allowed,eps_ddlimit_cenuns,ratio_cenuns,dd_covered_cenuns,allowed_cenuns
5.0100000000e-01,1.7755031880e+00,7.9087910053e-05,3.6681571124e-05,2.1560665923e+00,1,0,3.6681571124e-05,2.1560665923e+00,1,0
5.0100000000e-01,1.8844114137e+00,8.4820521659e-05,3.6861309243e-05,2.3010718664e+00,1,0,3.6861309243e-05,2.3010718664e+00,1,0
5.0100000000e-01,2.0000000000e+00,8.8096811945e-05,3.7088473959e-05,2.3753150923e+00,1,0,3.7088473959e-05,2.3753150923e+00,1,0
5.0353846154e-01,1.0000000000e-02,1.4203223192e-06,3.6781883923e-06,3.8614724633e-01,1,1,3.6781883923e-06,3.8614724633e-01,1,1
5.0353846154e-01,1.0613393580e-02,1.5067186835e-06,3.8222999272e-06,3.9419164174e-01,1,1,3.8222999272e-06,3.9419164174e-01,1,1
5.0353846154e-01,1.1264412328e-02,1.5983704267e-06,4.0088332000e-06,3.9871213067e-01,1,1,4.0088332000e-06,3.9871213067e-01,1,1
5.0353846154e-01,1.1955364149e-02,1.6820895731e-06,4.2508327625e-06,3.9570824521e-01,1,1,4.2508327625e-06,3.9570824521e-01,1,1
5.0353846154e-01,1.2688698510e-02,1.7810312877e-06,4.5190996302e-06,3.9411197660e-01,1,1,4.5190996302e-06,3.9411197660e-01,1,1
5.0353846154e-01,1.3467015131e-02,1.8857928249e-06,4.8032014548e-06,3.9261164508e-01,1,1,4.8032014548e-06,3.9261164508e-01,1,1
5.0353846154e-01,1.4293073193e-02,1.9967165107e-06,5.1398774921e-06,3.8847550624e-01,1,1,5.1398774921e-06,3.8847550624e-01,1,1
5.0353846154e-01,1.5169801127e-02,2.1141648073e-06,5.5627411182e-06,3.8005809769e-01,1,1,5.5627411182e-06,3.8005809769e-01,1,1
5.0353846154e-01,1.6100306989e-02,2.2385214969e-06,6.0486908876e-06,3.7008363273e-01,1,1,6.0486908876e-06,3.7008363273e-01,1,1
5.0353846154e-01,1.7087889483e-02,2.3701929362e-06,6.5851744420e-06,3.5992864836e-01,1,1,6.5851744420e-06,3.5992864836e-01,1,1
5.0353846154e-01,1.8136049653e-02,2.5096093838e-06,7.1998442859e-06,3.4856439725e-01,1,1,7.1998442859e-06,3.4856439725e-01,1,1
5.0353846154e-01,1.9248503296e-02,2.6572264069e-06,7.9562915497e-06,3.3397800852e-01,1,1,7.9562915497e-06,3.3397800852e-01,1,1
5.0353846154e-01,2.0429194130e-02,2.8315378406e-06,8.7936973003e-06,3.2199628255e-01,1,1,8.7936973003e-06,3.2199628255e-01,1,1
5.0353846154e-01,2.1682307783e-02,3.0172839326e-06,9.7367352684e-06,3.0988661491e-01,1,1,9.7367352684e-06,3.0988661491e-01,1,1
5.0353846154e-01,2.3012286622e-02,3.1831942026e-06,1.0786559774e-05,2.9510745496e-01,1,1,1.0786559774e-05,2.9510745496e-01,1,1
5.0353846154e-01,2.4423845509e-02,3.3795198175e-06,1.1979168960e-05,2.8211638293e-01,1,1,1.1979168960e-05,2.8211638293e-01,1,1
5.0353846154e-01,2.5921988513e-02,3.5879539450e-06,1.3351057942e-05,2.6873929845e-01,1,1,1.3351057942e-05,2.6873929845e-01,1,1
5.0353846154e-01,2.7512026646e-02,3.8092433856e-06,1.4907783543e-05,2.5552043835e-01,1,1,1.4907783543e-05,2.5552043835e-01,1,1
5.0353846154e-01,2.9199596698e-02,4.0441809993e-06,1.6642247453e-05,2.4300690221e-01,1,1,1.6642247453e-05,2.4300690221e-01,1,1
5.0353846154e-01,3.0990681213e-02,4.2936085463e-06,1.8699982537e-05,2.2960494951e-01,1,1,1.8699982537e-05,2.2960494951e-01,1,1
5.0353846154e-01,3.2891629703e-02,4.5584197027e-06,2.1025830445e-05,2.1680093514e-01,1,1,2.1025830445e-05,2.1680093514e-01,1,1
