MAp,eps,omegah2,xf,method,ncalls
4.9290638636e-02,1.4616514312e-04,1.2000000000e-01,1.8400000000e+01,refine,2
5.0029885167e-02,1.4757123060e-04,1.2000000000e-01,1.8400000000e+01,refine,1
5.0780218700e-02,1.4801161780e-04,1.2000000000e-01,1.8400000000e+01,refine,2
5.1541805515e-02,1.4845331922e-04,1.2100000000e-01,1.8400000000e+01,refine,1
5.2314814385e-02,1.4997794291e-04,1.2100000000e-01,1.8400000000e+01,refine,2
5.3099416616e-02,1.5151822458e-04,1.2000000000e-01,1.8400000000e+01,refine,2
5.3895786080e-02,1.5206826013e-04,1.2100000000e-01,1.8400000000e+01,refine,1
5.4704099260e-02,1.5372894787e-04,1.2100000000e-01,1.8400000000e+01,refine,1
5.5524535284e-02,1.5540777143e-04,1.2100000000e-01,1.8400000000e+01,refine,2
5.6357275967e-02,1.5710492888e-04,1.2000000000e-01,1.8400000000e+01,refine,2
5.7202505849e-02,1.5777678862e-04,1.2100000000e-01,1.8400000000e+01,refine,1
5.8060412242e-02,1.5960253591e-04,1.2100000000e-01,1.8400000000e+01,refine,1
5.8931185263e-02,1.6144941022e-04,1.2100000000e-01,1.8400000000e+01,refine,1
5.9815017882e-02,1.6331765603e-04,1.2000000000e-01,1.8400000000e+01,refine,2
6.0712105963e-02,1.6520752063e-04,1.2000000000e-01,1.8400000000e+01,refine,2
6.1622648308e-02,1.6602088049e-04,1.2100000000e-01,1.8400000000e+01,refine,1
6.2546846699e-02,1.6805018143e-04,1.2100000000e-01,1.8400000000e+01,refine,1
6.3484905947e-02,1.7010428685e-04,1.2100000000e-01,1.8500000000e+01,refine,1
6.4437033932e-02,1.7218349994e-04,1.2000000000e-01,1.8400000000e+01,refine,2
6.5403441654e-02,1.7428812760e-04,1.2000000000e-01,1.8500000000e+01,refine,2
6.6384343274e-02,1.7525898859e-04,1.2100000000e-01,1.8400000000e+01,refine,1
6.7379956169e-02,1.7751545562e-04,1.2100000000e-01,1.8500000000e+01,refine,1
6.8390500975e-02,1.7980097475e-04,1.2100000000e-01,1.8500000000e+01,refine,1
6.9416201634e-02,1.8211592005e-04,1.2100000000e-01,1.8500000000e+01,refine,1
7.0457285451e-02,1.8446067037e-04,1.2000000000e-01,1.8500000000e+01,refine,1
7.1513983137e-02,1.8683560944e-04,1.2000000000e-01,1.8500000000e+01,refine,1
7.2586528865e-02,1.8924112597e-04,1.2000000000e-01,1.8500000000e+01,refine,2
7.3675160320e-02,1.9167761361e-04,1.2000000000e-01,1.8500000000e+01,refine,2
7.4780118749e-02,1.9286947048e-04,1.2100000000e-01,1.8500000000e+01,refine,1
7.5901649020e-02,1.9547848120e-04,1.2100000000e-01,1.8500000000e+01,refine,1
7.7039999673e-02,1.9812278489e-04,1.2100000000e-01,1.8500000000e+01,refine,1
7.8195422976e-02,2.0080285897e-04,1.2100000000e-01,1.8600000000e+01,refine,1
7.9368174977e-02,2.0351918733e-04,1.2100000000e-01,1.8600000000e+01,refine,1
8.0558515569e-02,2.0627226038e-04,1.2000000000e-01,1.8600000000e+01,refine,1
8.1766708540e-02,2.0906257518e-04,1.2000000000e-01,1.8600000000e+01,refine,1
8.2993021634e-02,2.1189063552e-04,1.2000000000e-01,1.8600000000e+01,refine,1
8.4237726613e-02,2.1475695199e-04,1.2000000000e-01,1.8600000000e+01,refine,2
8.5501099311e-02,2.1766204209e-04,1.2000000000e-01,1.8600000000e+01,refine,2
8.6783419702e-02,2.1915651780e-04,1.2100000000e-01,1.8600000000e+01,refine,1
8.8084971957e-02,2.2226416929e-04,1.2100000000e-01,1.8700000000e+01,refine,1
8.9406044512e-02,2.2541588746e-04,1.2100000000e-01,1.8600000000e+01,refine,1
9.0746930125e-02,2.2861229717e-04,1.2100000000e-01,1.8700000000e+01,refine,1
9.2107925947e-02,2.3185403214e-04,1.2100000000e-01,1.8700000000e+01,refine,1
9.3489333584e-02,2.3514173509e-04,1.2100000000e-01,1.8700000000e+01,refine,1
